Refs,Description,Manufacturer,Part No.,Qty
C10 C11,"Capacitor, Ceramic, 22pF, 100V, X7R, 1206","SAMSUNG ELECTRO-MECHANICS AMERICA, INC",CL31C220JCCNNNC,2
C1 C2 C18,"Capacitor, Ceramic, 0.1uf, 10%, 50V, X7R",KEMET ELECTRONICS CORPORATION,C1206C104K5RACTU,3
D1 D2 D3,"LED, Vis, Solid State, Green, 1206",KINGBRIGHT COMPANY LLC,APL3015SGC-F01,3
IC7,IC SOCKET,TE CONNECTIVITY,1-390261-9,1
JP1 JP2,"Male Headers Pins, 0.1"" spacing, 2x1",HARWIN INC,M20-9990246,2
P1,"Connector, PCB, Right Angle, 10 Position",OMRON ELECTRONICS INC,XG4A-1034,1
P2,"Mini-Fit Jr Connection header, 8POS 4.2MM R/A TIN",MOLEX INC,39301080,1
P3,"Male Headers Pins, 0.1"" spacing, 6x1, R/A",SULLINS CONNECTOR SOLUTIONS,PRPC006SBAN-M71RC,1
P4,"Male Headers Pins, 0.1"" spacing, 3x2",HARWIN INC,M20-9980346,1
P17,"Terminal Block, 5.08mm, 4 Position",ON SHORE TECHNOLOGY INC,OSTTC042162,1
R2 R4 R5 R10,"Resistor, Metal Film, 1k, 1%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,RMCF1206FT1K00,4
R1,"Resistor, Metal Film, 10k, 1%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,RMCF1206FT10K0,1
R3,"Resistor, Metal Film, 1M, 1%, 1/4W, 1206",STACKPOLE ELECTRONICS INC,RMCF1206FT1M00,1
SW1,"Switch Tactile, SPST-NO, 0.05A 12V",C&K Components,PTS645SK43 LFS,1
U2,IC Quad 2-IN NAND Gate,TEXAS INSTRUMENTS,SN74LV00ADR,1
X1,CRYSTAL 16MHZ 18PF THRU,CITIZEN FINETECH MIYOTA,HC49US-16.000MABJ-UB,1
IC8,"IC, MCU 8bit 32KB FLASH 28DIP",ATMEL,ATMEGA328P-PU,1
S1-2,"SHUNT JUMPER .1""",3M,969102-0000-DA,2
,,,,
Note: IC8 does not need to be placed,,,,
